_id,name,price,description,discount,vendors,scrapedAt,__v,originalPrice,reviews,rating,availability,badge,image
674c24660c30ce92df2d4f9e,"Lenovo V15 Newest 15.6"" FHD Business Laptop Computer, Intel Dual-Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, AC WiFi, Bluetooth 5.1, RJ-45, Type-C, HDMI, Numeric Keypad, Windows 11 Pro, Befectoy",$289.60$359.00,,,[],2024-12-01 08:54:51.383,0,$359.00,14300+ bought in past monthTypical price:,4.8 out of 5 stars,,,
674c24660c30ce92df2d4fa0,"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",$847.99$999.00,,,[],2024-12-01 08:54:51.384,0,$999.00,4031K+ bought in past monthList:,4.3 out of 5 stars,,,
674c24660c30ce92df2d4fa2,"ASUS Chromebook CX1, 15.6"" FHD NanoEdge Display, Intel Celeron N4500 Processor, 64GB eMMC Storage, 8GB RAM, ChromeOS, Transparent Silver, CX1500CKA-AS84F",$169.99$249.99,,,[],2024-12-01 08:54:51.385,0,$249.99,1483K+ bought in past monthList: More Buying Choices,4.3 out of 5 stars,,,
674c24660c30ce92df2d4fa4,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",$272.00$299.99,,,[],2024-12-01 08:54:51.385,0,$299.99,2605K+ bought in past monthList: Only 15 left in stock - order soon.More Buying Choices,4.1 out of 5 stars,,,
674c24660c30ce92df2d4fa6,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",$145.00$199.99,,,[],2024-12-01 08:54:51.386,0,$199.99,"10,2764K+ bought in past monthList: More Buying Choices",4.5 out of 5 stars,,,
674c24660c30ce92df2d4fa8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",$212.00$249.99,,,[],2024-12-01 08:54:51.386,0,$249.99,"1,8533K+ bought in past monthTypical price:",4.0 out of 5 stars,,,
674c24660c30ce92df2d4faa,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",$276.88$299.99,,,[],2024-12-01 08:54:53.900,0,$299.99,"1,37410K+ bought in past monthList: Only 8 left in stock - order soon.1 sustainability featureThis product has sustainability features recognized by trusted certifications.Conserves energy compared to similar products.EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelSILVERDiscover more products with sustainability features.Learn moreMore Buying Choices",4.2 out of 5 stars,,,
674c24660c30ce92df2d4fac,"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",$847.99$999.00,,,[],2024-12-01 08:54:53.901,0,$999.00,4031K+ bought in past monthList:,4.3 out of 5 stars,,,
674c24660c30ce92df2d4fae,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$192.00$269.00,,,[],2024-12-01 08:54:53.901,0,$269.00,"1,7561K+ bought in past monthList: Only 2 left in stock - order soon.",4.1 out of 5 stars,,,
674c24660c30ce92df2d4fb0,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",$249.99$318.00,,,[],2024-12-01 08:54:53.902,0,$318.00,3006K+ bought in past monthTypical:,4.2 out of 5 stars,,,
